id,step,recipe_id
48,"Шаг 4 Распределите тесто по формам, заполнив их на ⅔.",9
49,Шаг 5 Выпекайте в разогретой до 180 °С духовке в течение 20 минут. Готовность проверяйте по сухой шпажке.,9
50,Шаг 1 Застелите противень бумагой для выпечки. Выложите ломтики хлеба и насыпьте орешки. Запекайте в разогретой до 180 ℃ духовке в течение 10 минут.,10
51,"Шаг 2 Затем достаньте орешки, а хлеб продолжайте запекайте до полного высыхания.",10
52,"Шаг 3 Налейте в стакан горячую воду (температура 60–70 ℃). Высыпьте туда желатин и смешайте блендером до полного растворения желатина, в пену.",10
53,Шаг 4 Вылейте в стакан всю ряженку и хорошо перемешайте блендером до однородности.,10
54,Шаг 5 Разлейте по стаканам и уберите в холодильник минимум на час,10
55,Шаг 6 Высушенный хлеб поломайте на кусочки и положите в чашу блендера. Добавьте оливковое масло и измельчите в крошку.,10
56,"Шаг 7 На застывшую ряженку в стаканах выложите немного клюквы с сахаром, присыпьте орешками и бородинским хлебом.",10
57,Шаг 8 Сверху украсьте листиками мяты.,10
58,"Шаг 1 Кокосовое молоко разбавьте 30 мл теплой воды, смешайте с чиа и оставьте на час.",11
59,"Шаг 2 В прозрачные стаканы выложите слоями манговое пюре, творог, чиа, последним слоем манговое пюре, украсьте свежей малиной.",11
60,"Шаг 1 Кокосовое молоко разбавьте 30 мл теплой воды, смешайте с чиа и оставьте на час.",12
61,"Шаг 2 В прозрачные стаканы выложите слоями манговое пюре, творог, чиа, последним слоем манговое пюре, украсьте свежей малиной.",12
62,"Шаг 1 Нарежьте и отбейте мясо и выложите в форму, смазанную растительным маслом.",13
63,"Шаг 2 Смешайте сметану, измельчённый чеснок,зелень и 100 г сыра, натёртого на крупной тёрке.",13
64,Шаг 3 Смажьте соусом мясо.,13
65,Шаг 4 Нарежьте помидоры кружками и выложите поверх соуса.,13
66,"Шаг 5 Натрите оставшийся сыр, посыпьте блюдо.",13
67,Шаг 6 Выпекайте в разогретой до 180 °С духовке 40-45 минут.,13
68,"Шаг 1 Нарежьте и отбейте мясо и выложите в форму, смазанную растительным маслом.",14
69,"Шаг 2 Смешайте сметану, измельчённый чеснок,зелень и 100 г сыра, натёртого на крупной тёрке.",14
70,Шаг 3 Смажьте соусом мясо.,14
71,Шаг 4 Нарежьте помидоры кружками и выложите поверх соуса.,14
72,"Шаг 5 Натрите оставшийся сыр, посыпьте блюдо.",14
73,Шаг 6 Выпекайте в разогретой до 180 °С духовке 40-45 минут.,14
74,"Шаг 1 Если используете замороженные стейки форели, разморозьте их. Брокколи помойте, разберите на соцветия. Выложите в миску.",15
75,Шаг 2 Лук натрите на мелкой тёрке добавьте к брокколи.,15
76,"Шаг 3 Насыпьте чёрный молотый перец, соль, оливковое масло, хорошо перемешайте.",15
77,"Шаг 4 Застелите противень пергаментом, выложите подготовленные соцветия брокколи и стейки форели.",15
78,"Шаг 5 Сделайте масляный соус: в миску налейте 1 ст. л. оливкового масла, добавьте 2/3 ч. л. соли, 1/6 ч. л. молотого перца, перемешайте.",15
79,Шаг 6 Смажьте стейки форели подготовленным масляным соусом. Запекайте в разогретой до 180 ℃ духовке 10 минут.,15
80,"Шаг 7 Пока запекаются рыба и брокколи, сделайте глазурь. Натрите цедру лимона на мелкой тёрке в мисочку. Всыпьте чёрный перец, оливковое масло.",15
81,"Шаг 8 Добавьте орегано, 1/3 ч. л. соли, жареный лук, соевый соус и смешайте всё.",15
82,Шаг 9 Смажьте запечённую рыбу глазурью и запекайте ещё 4-5 минут при 180 ℃.,15
83,Шаг 10 Подавайте форель с брокколи и жареным луком.,15
84,"Шаг 1 Если используете замороженные стейки форели, разморозьте их. Брокколи помойте, разберите на соцветия. Выложите в миску.",16
85,Шаг 2 Лук натрите на мелкой тёрке добавьте к брокколи.,16
86,"Шаг 3 Насыпьте чёрный молотый перец, соль, оливковое масло, хорошо перемешайте.",16
87,"Шаг 4 Застелите противень пергаментом, выложите подготовленные соцветия брокколи и стейки форели.",16
88,"Шаг 5 Сделайте масляный соус: в миску налейте 1 ст. л. оливкового масла, добавьте 2/3 ч. л. соли, 1/6 ч. л. молотого перца, перемешайте.",16
89,Шаг 6 Смажьте стейки форели подготовленным масляным соусом. Запекайте в разогретой до 180 ℃ духовке 10 минут.,16
90,"Шаг 7 Пока запекаются рыба и брокколи, сделайте глазурь. Натрите цедру лимона на мелкой тёрке в мисочку. Всыпьте чёрный перец, оливковое масло.",16
91,"Шаг 8 Добавьте орегано, 1/3 ч. л. соли, жареный лук, соевый соус и смешайте всё.",16
92,Шаг 9 Смажьте запечённую рыбу глазурью и запекайте ещё 4-5 минут при 180 ℃.,16
93,Шаг 10 Подавайте форель с брокколи и жареным луком.,16
94,"Шаг 1 Сделайте сметанный соус. Нарежьте мелко красный лук и 2 зубчика чеснока, сложите в миску.",17
95,"Шаг 2 Добавьте паприку, соль, оливковое масло и сметану, перемешайте.",17
96,Шаг 3 Репчатый лук нарежьте полукольцами.,17
97,"Шаг 4 Перец очистите от семян, удалите плодоножку, нарежьте мякоть полосками.",17
98,"Шаг 5 Разогрейте сковороду с 2-3 ст. ложками масла, выложите лук и чеснок и готовьте на среднем огне до золотистого цвета (примерно 3-5 минут).",17
99,Шаг 6 Добавьте болгарский перец и готовьте ещё 3-5 минут.,17
100,"Шаг 7 При необходимости добавьте немного масла. Посолите. Добавьте сушёный укроп, перемешайте, прогрейте всё вместе около минуты и снимите с огня.",17
101,Шаг 8 Застелите противень пергаментом. Выложите на него обжаренные овощи.,17
102,"Шаг 9 Сверху поместите предварительно размороженного карпа кожей вниз. На филе выложите сметанный соус, равномерно распределите.",17
103,Шаг 10 Помидор нарежьте кружочками и выложите на рыбу. Запекайте карпа в духовке в течение 25 минут при 190 °C.,17
104,Шаг 11 Подавайте карпа в сметане с картофельным пюре или отварным картофелем.,17
105,"Шаг 1 Сделайте сметанный соус. Нарежьте мелко красный лук и 2 зубчика чеснока, сложите в миску.",18
106,"Шаг 2 Добавьте паприку, соль, оливковое масло и сметану, перемешайте.",18
107,Шаг 3 Репчатый лук нарежьте полукольцами.,18
108,"Шаг 4 Перец очистите от семян, удалите плодоножку, нарежьте мякоть полосками.",18
109,"Шаг 5 Разогрейте сковороду с 2-3 ст. ложками масла, выложите лук и чеснок и готовьте на среднем огне до золотистого цвета (примерно 3-5 минут).",18
110,Шаг 6 Добавьте болгарский перец и готовьте ещё 3-5 минут.,18
111,"Шаг 7 При необходимости добавьте немного масла. Посолите. Добавьте сушёный укроп, перемешайте, прогрейте всё вместе около минуты и снимите с огня.",18
112,Шаг 8 Застелите противень пергаментом. Выложите на него обжаренные овощи.,18
113,"Шаг 9 Сверху поместите предварительно размороженного карпа кожей вниз. На филе выложите сметанный соус, равномерно распределите.",18
114,Шаг 10 Помидор нарежьте кружочками и выложите на рыбу. Запекайте карпа в духовке в течение 25 минут при 190 °C.,18
115,Шаг 11 Подавайте карпа в сметане с картофельным пюре или отварным картофелем.,18
116,Шаг 1 Смешайте молоко и минералку в большой миске.,19
117,"Шаг 2 Разбейте яйца, добавьте растительное масло и разболтайте венчиком.",19
118,"Шаг 3 Добавьте соль, сахар и муку. Если тесто густовато, добавьте ещё минералки.",19
119,Шаг 4 Жарьте блины на горячей сковороде с небольшим количеством растительного масла. ,19
120,"Шаг 5 Складывайте блины стопкой или конвертиками, промазывая сливочным маслом. ",19
121,Шаг 1 Творог выложите в миску. Отделите белки от желтков и добавьте белки. Перемешайте.,20
122,"Шаг 2 Добавьте соль, сахар  и 1 ст. ложку муки, перемешайте.",20
123,Шаг 3 Сформируйте сырники и обваляйте их в муке.,20
124,Шаг 4 Выложите на застеленный пергаментом противень.,20
125,"Шаг 5 Поставьте сырники в разогретую до 200 °C духовку на 7 минут, затем убавьте температуру до 180 °C и запекайте ещё 5 минут.",20
126,Шаг 6 Готовые сырники можно подать со свежими ягодами и овсяным сиропом или мёдом.,20
127,Шаг 1 Взбейте яйцо с сахаром и солью.,21
128,Шаг 2 Добавьте творог и хорошо перемешайте.,21
129,Шаг 3 Муку насыпьте в тарелку. Сформируйте из творожной смеси шарики (удобно делать это с помощью двух ложек) и переложите в муку.,21
130,Шаг 4 Аккуратно обваляйте сырники со всех сторон.,21
131,Шаг 5 Обжарьте на растительном или топлёном масле на горячей сковороде с одной стороны.,21
132,"Шаг 6 Затем аккуратно переверните, убавьте огонь и накройте крышкой.",21
133,Шаг 7 Доведите до готовности на небольшом огне (около 10 минут).,21
134,"Шаг 1 Для ленивых вареников лучше подойдёт однородный творог в мягких пачках. Если у вас творог с крупинками, то желательно протереть его через сито при помощи ложки.",22
135,"Шаг 2 В миске смешайте творог, яйцо, 1 ст. ложку сахара и соль, интенсивно перемешайте до однородности.",22
136,"Шаг 3 Добавьте 1 ст. ложку муки и замешивайте, пока творог не соберётся в середине миски.",22
137,Шаг 4 Посыпьте доску мукой. Из творога скатайте тонкую колбаску и порежьте по диагонали небольшими кусочками.,22
138,"Шаг 5 Вскипятите подсоленную воду и кидайте вареники по одному. Отварите в кипящей воде до готовности, пока не всплывут.",22
139,"Шаг 6 Готовые вареники выньте при помощи шумовки, давая стечь воде, разложите по тарелкам, сверху положите сметану и ягоды вишни.",22
140,"Шаг 1 Яйца отварите всмятку (4 минуты после закипания), остудите под холодной водой, очистите от скорлупы.",23
141,"Шаг 2 Авокадо разрежьте пополам, удалите косточку и кожуру, аккуратно нарежьте ломтиками мякоть, смажьте лимонным соком.",23
142,Шаг 3 Томаты нарежьте мелким кубиком.,23
143,"Шаг 4 Тосты (можно подогреть в тостере) намажьте творожным сыром, сверху разложите ломтики авокадо, нарезанный кубиком томат и половинки варёных яиц. Посолите, посыпьте перцем и кунжутом.",23
144,"Шаг 1 Нарежьте мясо, сыр и томат кружочками.",24
145,"Шаг 2 На ломтик хлеба положите сыр, затем помидор, курицу и снова сыр. Накройте вторым кусочком хлеба.",24
146,"Шаг 3 Лучше всего запекать такой тост в ростере, электрическом гриле или вафельнице. Но можно приготовить и на сухой сковороде при небольшом нагреве. В таком случае придется чаще переворачивать и придавливать лопаткой, чтобы тосты не получились высокими. Готовьте до расплавления сыра.",24
147,Шаг 1 Яйца разбейте и отделите белки от желтков.,25
148,"Шаг 2 Желтки взбейте в пену. Добавьте муку и разрыхлитель, тщательно размешайте (можно миксером).",25
149,"Шаг 3 Добавьте кефир и яблоки, тщательно перемешайте.",25
150,"Шаг 4 Взбейте белки до мягких пиков, аккуратно вмешайте их в тесто ложкой или лопаточкой.",25
151,"Шаг 5 Перед выпечкой дайте тесту постоять 15-20 минут. Обязательно хорошо разогрейте вафельницу, затем слегка убавьте температуру и смажьте нагреваемую поверхность маслом. Пеките вафли, выкладывая тесто ложкой.",25
152,Шаг 1 Помойте овощи и фрукты. Морковь почистите и нарежьте небольшими шайбочками. Положите в кувшин блендера.,26
153,Шаг 2 Стебли сельдерея очистите от прожилок и нарежьте на несколько частей. Также положите в блендер.,26
154,Шаг 3 Всыпьте в кувшин блендера семена чиа и налейте воду.,26
155,"Шаг 4 Яблоки очистите от семян и нарежьте дольками, добавьте к остальным ингредиентам.",26
156,Шаг 5 Измельчите всё вместе блендером до однородности.,26
157,"Шаг 6 Добавьте греческий йогурт и снова пробейте до однородности. Смузи готов, пить его нужно сразу после приготовления.",26
158,"Шаг 1 В блендер положите банан, хлопья и йогурт. Пробейте до однородности.",27
159,"Шаг 2 Перелейте в стакан, добавьте сироп по вкусу.",27
160,"Шаг 1 Сложите в блендер творог, чернику, мяту и молоко.",28
161,Шаг 2 Пробейте до однородности.,28
162,Шаг 3 Перелейте смузи в стаканы и украсьте мятой.,28
163,Шаг 1 Насыпьте в термостойкий кувшин порошок матча.,29
164,"Шаг 2 Залейте горячей водой. Хорошо перемешайте венчиком до образования пены, так лучше раскрывается вкус матча.",29
165,Шаг 3 Добавьте мёд по вкусу.,29
166,Шаг 4 Налейте молоко и снова перемешайте до однородности.,29
167,Шаг 5 Наполните стакан льдом и налейте в него подготовленный напиток. ,29
168,"Шаг 1 Отварите свёклу, если взяли для смузи сырую. Нарежьте её кусочками и положите в кувшин блендера. Можно добавить свекольный сок из упаковки, если вы купили уже варёную свёклу.",30
169,"Шаг 2 Сельдерей помойте, обсушите, очистите от волокон при желании. Разрежьте на несколько частей и положите к свёкле.",30
170,Шаг 3 Шпинат помойте и обсушите. Добавьте к остальным ингредиентам.,30
171,Шаг 4 Всыпьте в блендер семена льна.,30
172,Шаг 5 Налейте томатный сок.,30
173,Шаг 6 Измельчите все ингредиенты до однородности.,30
174,"Шаг 1 Морковь почистите, нарежьте произвольно. Сельдерей и петрушку нарежьте.",31
175,Шаг 2 В чашу блендера сложите овощи и залейте сначала небольшим количеством воды.,31
176,"Шаг 3 Пробейте до однородности, затем долейте оставшуюся воду и ещё раз тщательно всё измельчите.",31
177,Шаг 4 По желанию добавьте лимонный сок.,31
178,"Шаг 1 Молоко вылейте в сотейник, добавьте кусочки шоколада и нагревайте, пока он не растопится. Можно также сделать это в микроволновке.",32
179,Шаг 2 Дайте смеси остыть.,32
180,"Шаг 3 Перелейте в блендер, добавьте пломбир и по желанию лёд. Пробейте до однородности.",32
181,"Шаг 4 Готовый коктейль можно украсить шоколадной стружкой, свежими ягодами или мятой.",32
182,"Шаг 1 Клубнику помойте, обсушите, удалите хвостики.",33
183,"Шаг 2 Сложите в блендер клубнику, добавьте молоко и мороженое.",33
184,Шаг 3 Пробейте до однородности.,33
185,Шаг 1 Насыпьте рис в мисочку и промойте его. Слейте воду и положите крупу в чашу мультиварки.,34
186,Шаг 2 Налейте в чашу молоко.,34
187,Шаг 3 Добавьте воду.,34
188,Шаг 4 Насыпьте сахар и соль. Перемешайте.,34
189,Шаг 5 Добавьте масло.,34
190,"Шаг 6 Поставьте чашу в мультиварку, установите программу «Каша» и время приготовления 35-40 минут. ",34
191,Шаг 1 Сыр сулугуни нарежьте на ломтики.,35
192,"Шаг 2 Разогрейте сковороду, положите сливочное масло, налейте немного растительного (это нужно для того, чтобы сливочное масло не горело). Разбейте в сковороду яйца. Жарьте до готовности глазуньи в течение примерно 3-5 минут. Посолите, поперчите по вкусу.",35
193,Шаг 3 На другой сковороде пожарьте сыр. Масло при этом добавлять не нужно.,35
194,Шаг 4 Разрежьте круассаны вдоль. Выложите на каждый по 2 ломтика сыра.,35
195,"Шаг 5 Выложите по 2 яйца на сыр, сверху — ломтики слабосолёной форели. ",35
196,"Шаг 1 Мини-булочки разрежьте вдоль, чтобы получилась глубокая нижняя часть и небольшая крышечка.",36
197,"Шаг 2 Из нижней части выньте немного мякиша, сделав тем самым углубление для начинки.",36
198,Шаг 3 Сыр натрите.,36
199,Шаг 4 Положите в булочки листья шпината и сыр. Аккуратно разбейте по яйцу в каждую булочку.,36
200,Шаг 5 Разогрейте духовку до 180 °C и поставьте в неё противень с булочками. Запекайте около 10-12 минут до готовности. Крышечки подпеките рядом на том же противне.,36
201,"Шаг 1 Нарежьте красный сладкий перец, репчатый лук, чеснок и помидоры мелкими кубиками.",37
202,Шаг 2 В сковороде с толстым дном (лучше чугунной) разогрейте масло и обжарьте лук до прозрачности. Добавьте мелко нарезанный чеснок и ещё минуту обжаривайте всё вместе.,37
203,"Шаг 3 Добавьте все специи, включая соль и сахар, и прогрейте ещё 1-2 минуты.",37
204,"Шаг 4 Добавьте в сковороду красный перец, обжарьте ещё 2 минуты.",37
205,"Шаг 5 Добавьте томатную пасту, а через минуту-две — помидоры. Влейте полстакана воды и тушите, соус должен стать однородным. Не забывайте помешивать блюдо, чтобы соус не пригорел.",37
206,"Шаг 6 Большой столовой ложкой сделайте в овощной массе 4 углубления и разбейте в каждое яйцо, посолите. Жарьте под крышкой до желаемой степени готовности яиц. Подавайте шакшуку горячей, посыпав рубленой петрушкой.",37
207,"Шаг 1 Моцареллу измельчите на тёрке, гауду нарежьте ломтиками. Маринованные огурчики нарежьте колечками.",38
208,"Шаг 2 На противень, застеленный пергаментом, положите два ломтика хлеба.",38
209,"Шаг 3 На каждый выложите тёртую моцареллу, сверху добавьте немного горчицы.",38
210,"Шаг 4 Выложите ветчину поверх сыра, добавьте кружочки огурца и ломтики гауды. Посыпьте моцареллой.",38
211,Шаг 5 Прижмите вторым куском хлеба и добавьте ещё немного тёртой моцареллы. У вас должно получиться два многослойных бутерброда.,38
212,Шаг 6 Поставьте запекаться в горячую духовку при 200 °C на 5-7 минут до расплавления сыра.,38
213,"Шаг 7 Пока тосты пекутся, быстро поджарьте две глазуньи на сковороде.",38
214,Шаг 8 Выложите яичницы на горячие тосты.,38
215,"Шаг 1 Высыпьте овсяные хлопья в чашу кухонного комбайна или блендера. Банан почистите, поломайте на кусочки и добавьте к овсянке.",39
216,"Шаг 2 Налейте туда же мед, миндальное молоко, добавьте сливочное масло комнатной температуры, соду, разрыхлитель и соль. Измельчите всё вместе до однородности.",39
217,Шаг 3 Смажьте маслом формы для запекания. На дно каждой выложите по 50 г шоколада и около по 30 г черники.,39
218,Шаг 4 Залейте шоколад и ягоды овсяной смесью.,39
219,Шаг 5 Запекайте в духовке при 180 °C до румяности примерно 30 минут. Подавайте овсяную запеканку горячей.,39
220,Шаг 1 Яйца разбейте в миску.,40
221,"Шаг 2 Добавьте молоко, просейте муку с разрыхлителем и солью, смешайте венчиком до однородности.",40
222,"Шаг 3 Растопите сливочное масло. Дайте немного остыть и добавьте в тесто, перемешайте.",40
223,Шаг 4 Ветчину и сыр нарежьте мелкими кубиками.,40
224,"Шаг 5 Добавьте в тесто, перемешайте.",40
225,Шаг 7 Поставьте в разогретую до 180 °C духовку и запекайте кексы 20-25 минут до готовности.,40
226,"Шаг 1Муку просейте в ёмкость для смешивания, добавьте соль, сахар.",41
227,"Шаг 2 В отдельную миску вылейте кефир, разбейте яйца, смешайте венчиком.",41
228,Шаг 3 Добавьте растительное масло.,41
229,"Шаг 4 Добавьте соду к кефиру, размешайте.",41
230,"Шаг 5 Всыпьте муку с сахаром и солью, ещё раз тщательно смешайте всё венчиком.",41
231,"Шаг 6 Разогрейте блинную сковороду, перед первым блином смазав её растительным маслом. Жарьте блины на среднесильном огне.",41
232,"Шаг 7 Такие пухлые блинчики хороши со сладкими начинками, особенно с абрикосовым вареньем и сметаной.",41
233,Шаг 1 Творог разомните с одним желтком.,42
234,"Шаг 2 Добавьте щепотку соли, сахар, муку и замесите тесто для сырников.",42
235,Шаг 3 Разделите тесто на 8-9 равных частей (получатся небольшие сырнички).,42
236,"Шаг 4 Сырники удобно формировать следующим образом: сначала руками скатайте шарик, чтобы он стал плотным и однородным, затем накройте его стаканом большего диаметра и круговыми движениями поводите стаканом по доске, присыпанной мукой. Ударяясь о стенки стакана, сырник приобретёт идеальную форму и ровные края.",42
237,"Шаг 5 Перед жаркой стряхните с сырников лишнюю муку, чтобы она не начала гореть.",42
238,"Шаг 6 Обжарьте сырники до готовности. Жарить лучше на слабом огне, чтобы они не подгорели.",42
239,Шаг 7 Приготовьте заливку: сметану смешайте с сахарной пудрой и яйцом.,42
240,"Шаг 8 Вылейте заливку в форму для запекания и поверх неё выложите сырники. Поставьте в духовку, разогретую до 190 °C, на 15 минут.",42
241,"Шаг 1 Рис промойте, залейте молоком, добавьте сахар и ванилин, доведите до кипения и варите на слабом огне около 40 минут периодически помешивая.",43
242,"Шаг 2 Готовую кашу остудите до комнатной температуры, разомните вилкой. Ягоды вишни разрежьте на половинки, удалите косточки.",43
243,"Шаг 3 Хорошо охлажденные сливки взбейте при помощи миксера, вылейте в кашу и хорошо размешайте, разложите мусс по креманкам, сверху выложите вишню, подавайте!",43
244,Шаг 1 Взбейте сахар с яйцами в пышную пену.,44
245,Шаг 2 Затем добавьте творог и взбивайте до однородности.,44
246,"Шаг 3 Добавьте в тесто манку и соль, перемешайте и оставьте на 20 минут для набухания манки.",44
247,"Шаг 4 Выложите тесто в форму, смазанную маслом. Грушу нарежьте тонкими ломтиками и слегка вдавите в тесто, выложив поверх.",44
248,"Шаг 5 Поставьте запеканку в разогретую до 180 °C духовку и запекайте около 30 минут до зарумянивания. Проверьте шпажкой готовность. Такая запеканка вкусна как в горячем, так и в остывшем виде.",44
249,"Шаг 1 Налейте в небольшую кастрюлю 1 ст. л. оливкового масла. Лук и чеснок почистите, нарежьте кусочками среднего размера. Обжаривайте всё вместе почти до готовности 3-5 минут.",45
250,"Шаг 2 Насыпьте орегано, сушёный базилик, сахар, посолите. По желанию добавьте также острый перец и/или паприку.",45
251,"Шаг 3 Выложите в кастрюлю томаты, по желанию добавьте 100 мл воды. Варите 5-10 минут.",45
252,Шаг 4 Багет нарежьте тонкими ломтиками и выложите на застеленный пергаментом противень. Слегка полейте оливковым маслом.,45
253,Шаг 5 Сыр натрите на крупной тёрке.,45
254,Шаг 6 Выложите сыр на ломтики багета и запеките в разогретой до 220 ℃ духовке в течение 5 минут.,45
255,"Шаг 7 Пробейте готовый суп блендером до однородности. Подавайте с сырными гренками, украсив свежей зеленью.",45
256,"Шаг 1 Тыкву нарежьте некрупными кубиками, перец очистите от семян и плодоножки. Перцы и томаты нарежьте половинками. Лук очистите и нарежьте крупно на 5-6 частей.",46
257,"Шаг 2 Выложите овощи в форму для запекания. Лучше выстелить дно фольгой или пергаментом, так как овощи дадут сок, который понадобится в супе, и нужно его сохранить. Приправьте овощи солью, перцем, базиликом, мускатным орехом и оливковым маслом и поставьте в духовку, разогретую до 200°C, на 20 минут.",46
258,Шаг 3 Приготовьте овощной бульон из приправы универсальной – залейте столовую ложку приправы кипятком (понадобится примерно 400 мл).,46
259,Шаг 4 Через 20 минут запекания овощей добавьте к ним очищенные зубчики чеснока и запекайте ещё 5 минут.,46
